2,132780777,132781777
11,101175616,101176616
7,135537323,135538323
9,119824956,119825956
1,83407700,83408700
5,30012660,30013660
8,13025533,13026533
9,78327529,78328529
8,72009126,72010126
3,49756816,49757816
6,90324685,90325685
14,48198215,48199215
6,147032036,147033036
1,172328763,172329763
9,103479828,103480828
14,7568066,7569066
5,65863068,65864068
18,23751805,23752805
3,157566391,157567391
5,91027016,91028016
5,90490213,90491213
8,61927586,61928586
7,122969959,122970959
1,172590068,172591068
2,52676109,52677109
5,113324045,113325045
8,106337488,106338488
6,53572873,53573873
2,121085259,121086259
15,34836854,34837854
11,75795557,75796557
13,10360303,10361303
6,22287726,22288726
7,30860970,30861970
10,88885491,88886491
3,122923616,122924616
8,104831143,104832143
7,103852707,103853707
16,63863657,63864657
11,65734332,65735332
11,114798423,114799423
4,114908788,114909788
13,30335855,30336855
12,28581983,28582983
2,74691390,74692390
10,75559830,75560830
6,128399265,128400265
14,17081831,17082831
11,78920358,78921358
10,121641200,121642200
7,5125450,5126450
14,32684772,32685772
6,112273257,112274257
1,92972618,92973618
10,60937632,60938632
12,7977176,7978176
5,90758797,90759797
17,88125011,88126011
5,147321940,147322940
12,55154603,55155603
3,108383241,108384241
13,67552701,67553701
15,4898236,4899236
15,77446960,77447960
11,5569183,5570183
10,26078552,26079552
11,69821665,69822665
2,31639536,31640536
5,134915030,134916030
13,21811283,21812283
4,132269686,132270686
8,93535207,93536207
9,119189893,119190893
6,48894754,48895754
7,4136426,4137426
1,190170180,190171180
18,9618969,9619969
1,130681071,130682071
9,95857382,95858382
7,143094142,143095142
9,78230168,78231168
13,38960118,38961118
2,121955592,121956592
16,32179299,32180299
16,95586093,95587093
11,95712254,95713254
1,93160448,93161448
13,64903388,64904388
2,104122268,104123268
16,57070846,57071846
7,48847551,48848551
11,120550632,120551632
16,14561816,14562816
17,46763212,46764212
5,73006403,73007403
16,5884292,5885292
12,41485557,41486557
14,29721364,29722364
2,150569914,150570914
9,4795734,4796734
3,87796450,87797450
8,105995923,105996923
5,113724272,113725272
5,21645105,21646105
3,92932478,92933478
X,149941154,149942154
11,11461919,11462919
1,184810800,184811800
1,80758053,80759053
1,107589505,107590505
3,96219415,96220415
5,120472263,120473263
2,152626507,152627507
1,36272925,36273925
10,44169946,44170946
4,148000245,148001245
16,23520090,23521090
10,70204163,70205163
5,139523250,139524250
6,88842353,88843353
